form_id,issuer_fingerprint,retailer_code,dist_code,dist_name
form_01,株式会社農心ジャパン 営業推進部,6070901,1302959,伊藤忠食品株式会社東日本営業本部（CVS）
form_01,株式会社農心ジャパン 営業推進部,6003794,1300010,加藤産業株式会社北近畿支社京都支店
form_01,株式会社農心ジャパン 営業推進部,6070905,1300063,伊藤忠食品株式会社西日本営業部
form_01,株式会社農心ジャパン 営業推進部,6014803,1300064,伊藤忠食品株式会社中四国支店
form_01,株式会社農心ジャパン 営業推進部,6070735,1300062,伊藤忠食品株式会社東海営業本部
form_01,株式会社農心ジャパン 営業推進部,6070899,1300062,伊藤忠食品株式会社東海営業本部
form_04,株式会社 日本アクセス 事務管理(生鮮直轄|03-5805-8024,6003788,1303568,株式会社日本アクセス広域リテール営業本部加工食品飲料部
form_04,株式会社 日本アクセス 事務管理(生鮮直轄)|03-5805-8024,6003788,1303568,株式会社日本アクセス広域リテール営業本部加工食品飲料部
form_04,株式会社 日本アクセス|03-5805-8024,6003788,1303568,株式会社日本アクセス広域リテール営業本部加工食品飲料部
form_04,株式会社日本アクセス 事務管理(生鮮直轄)|03-5805-8024,6003788,1303568,株式会社日本アクセス広域リテール営業本部加工食品飲料部
form_04,株式会社日本アクセス 宮|03-5805-8024,6003788,1303568,株式会社日本アクセス広域リテール営業本部加工食品飲料部
