ocr_name,product_code,product_name
農心 辛カップラーメン 68g,101003042,辛カップラーメン
農心 本場韓国コムタンラーメン 75g,101002078,本場韓国コムタンラーメン　
農心 辛ラーメン 120g×3P 360g,101000491,辛ラーメン3P　
農心 辛ラーメン 120g袋,101000461,辛ラーメン1P
農心 辛ラーメン焼きそば バケツカップ 105g,101005529,辛ラーメンチーズ焼きそばカップ24入
農心 辛ラーメン 焼きそば 135g袋,101006509,N辛ラーメン焼きそば袋1P
農心 辛ラーメンスパイシーチキン 120g袋,101006278,辛ラーメンスパイシーチキン袋1P
農心ジャパン 辛ラーメン トゥーンバ 137g袋,101006671,辛ラーメントゥーンバ1P
農心 辛ラーメン キムチ 3P袋,101004617,辛ラーメンキムチ(袋)3P
農心 辛ラーメン キムチ 120g袋,101004616,辛ラーメンキムチ(袋)1P
農心 カムジャ麺 100g袋,101003220,カムジャ麺1P
農心ジャパン 辛ラーメンブラック 3P,101003925,辛ラーメンブラック3P
農心 辛いえびせん 90g,102000556,辛いえびせん
農心 ユッケジャンラーメン 86g,101002007,ユッケジャンカップ
農心ジャパン ふるる冷麺(ビビン冷麺) 159g,101006529,ふるる冷麺（ビビン冷麺）20
農心ジャパン ふるる冷麺(水冷麺) 155g,101006531,ふるる冷麺（水冷麺）20
農心 ノグリラーメン 袋 120g,101000499,ノグリラーメン1P
農心 辛ラーメン キムチ カップ 68g,101003583,辛ラーメンキムチ カップ　
農心 辛ラーメン ミニ カップ 49g,101002602,辛ラーメンミニカップ
農心ジャパン カムジャ麺 バケツカップ 90 g,101004485,カムジャ麺バケツカップ
農心 辛ラーメントゥーンバ焼きそばカップ113g,101006694,辛ラーメントゥーンババケツカップ
農心 辛カップラーメン 6 8 g,101003042,辛カップラーメン
農心 辛ラーメン キムチ カップ 6 8 g,101003583,辛ラーメンキムチ カップ　
農心 辛ラーメン 120g×3P 360 g,101000491,辛ラーメン3P　
農心 辛ラーメントゥーンババケツカップ 113g,101006694,辛ラーメントゥーンババケツカップ
くらしモア 農心 辛ラーメン キムチ 3P袋,101004617,辛ラーメンキムチ(袋)3P
くらしモア 農心 辛ラーメン 120 g ×3P,101000491,辛ラーメン3P　
農心ジャパン チャパグリカップ 1 14 g,101004811,チャパグリカップ12入
農心 辛ラーメン バケツ カップ 1 14 g,101005378,辛ラーメンバケツカップ24入
農心 ユッケジャンラーメン 8 6 g,101002007,ユッケジャンカップ
農心 チャーワン 1 34 g,101003230,チャーワン4P
農心ジャパン チャパゲティ 1 40 g,101000551,チャパゲティー1P
農心 旨辛海鮮ちゃんぽん 1 30 g,101003364,旨辛海鮮ちゃんぽん1P
農心 辛ラーメン 120g×3,101000491,辛ラーメン3P　
農心 辛ラーメンカップ 68g,101003042,辛カップラーメン
農心 辛ラーメン トゥーンバ 袋 137g,101006671,辛ラーメントゥーンバ1P
農心 辛ラーメン ミニカップ 49g,101002602,辛ラーメンミニカップ
農心 辛ラーメン 袋 120g,101000461,辛ラーメン1P
農心 辛ラーメントゥーンバカップ 113g,101006694,辛ラーメントゥーンババケツカップ
農心 FM事前 辛ラーメントゥーンバカップ113,101006694,辛ラーメントゥーンババケツカップ
農心 辛ラーメントゥーンバカップ 113 g,101006694,辛ラーメントゥーンババケツカップ
農心 辛ラーメンカップ 68 g,101003042,辛カップラーメン
農心 辛ラーメン トゥーンバ 袋 137 g,101006671,辛ラーメントゥーンバ1P
農心 辛ラーメン ミニカップ 49 g,101002602,辛ラーメンミニカップ
農心 辛ラーメン 袋 120 g,101000461,辛ラーメン1P
農心 辛ラーメンカップ 6 8 g,101003042,辛カップラーメン
※農心 辛ラーメントゥーンバカップ 113 g,101006694,辛ラーメントゥーンババケツカップ
農心 辛ラーメン トゥーンバ 袋,101006671,辛ラーメントゥーンバ1P
農心 辛ラーメン トゥーンバ 袋 1 37 g,101006671,辛ラーメントゥーンバ1P
農心 辛ラーメン ミニカップ 4 9 g,101002602,辛ラーメンミニカップ
農心 辛ラーメン 袋,101000461,辛ラーメン1P
農心 辛ラーメントゥーンバカップ,101006694,辛ラーメントゥーンババケツカップ
農心 辛ラーメン ミニカップ,101002602,辛ラーメンミニカップ
農心 辛ラーメンカップ,101003042,辛カップラーメン
農心 辛ラーメン焼きそば炒めキムチカップ122g,101007352,辛ラーメン焼きそばカップ炒めキムチ味
▷農心 辛ラーメン トゥーンバ 袋 137g,101006671,辛ラーメントゥーンバ1P
▷農心 辛ラーメン焼きそば炒めキムチカップ122g,101007352,辛ラーメン焼きそばカップ炒めキムチ味
▷農心 辛ラーメントゥーンバカップ 113g,101006694,辛ラーメントゥーンババケツカップ
農心 辛ラーメン焼きそば炒めキムチカップ 122g,101007352,辛ラーメン焼きそばカップ炒めキムチ味
